MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-8.8700000,0.0100000
MsgID.LOCAL_POSITION,301.0640000,0.0093944,-92.0724487,-4.9206672
MsgID.LOCAL_VELOCITY,301.0640000,-0.0101145,-8.8752241,0.0179353
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3985138,37.7924805,4.9170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8800000,0.0100000
MsgID.LOCAL_POSITION,301.3140000,0.0099024,-94.2662735,-4.9177899
MsgID.LOCAL_VELOCITY,301.3140000,-0.0039717,-8.8843632,0.0123514
MsgID.LOCAL_POSITION,301.5630000,-0.0061475,-96.5363235,-4.9266872
MsgID.LOCAL_VELOCITY,301.5630000,-0.0035541,-8.8983116,-0.0426586
MsgID.GLOBAL_POSITION,0.0000000,-122.3985393,37.7924804,4.9260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8900000,-0.0400000
MsgID.LOCAL_POSITION,301.8150000,-0.1355805,-98.6489868,-4.9266319
MsgID.LOCAL_VELOCITY,301.8150000,0.0011585,-8.8809357,0.0181505
MsgID.GLOBAL_POSITION,0.0000000,-122.3985631,37.7924792,4.9260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8800000,0.0100000
MsgID.LOCAL_POSITION,302.0650000,-0.1333546,-100.7974472,-4.9266768
MsgID.LOCAL_VELOCITY,302.0650000,0.0217056,-8.8929691,-0.0329220
MsgID.GLOBAL_POSITION,0.0000000,-122.3985872,37.7924792,4.9260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-8.8900000,-0.0300000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3986126,37.7924813,4.9330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0300000,-8.8800000,-0.0100000
MsgID.LOCAL_POSITION,302.3150000,0.0927293,-103.0494766,-4.9339976
MsgID.LOCAL_VELOCITY,302.3150000,0.0340062,-8.8872557,-0.0112009
MsgID.GLOBAL_POSITION,0.0000000,-122.3986402,37.7924796,4.9270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8800000,0.0000000
MsgID.LOCAL_POSITION,302.5650000,-0.0917317,-105.5015945,-4.9274826
MsgID.LOCAL_VELOCITY,302.5650000,0.0066285,-8.8846254,0.0065595
MsgID.GLOBAL_POSITION,0.0000000,-122.3986649,37.7924790,4.9290000
